ID article dans kezzia,Type d'article pour nom,Marque d'article pour nom,BIO (oui/non),Nom d'article au Super Cafoutch,Code barre,Nom fournisseur,Nom article chez fournisseur,Référence fournisseur,Colisage en unité de mesure,Prix HT par unité de mesure,Catégorie interne,TVA,Contrôle TVA,Poids net (kilo),Volume (litre),Lien vers photo,Pays d'origine,Produit en mercuriale (oui/non)
2 192,Muesli fruits -,GRILLON D'OR,oui,Muesli fruits - GRILLON D'OR,3421557108099,Bryio,Muesli fruits 1kg,CC10809,8,"3,79",Alimentaire / Épicerie / Céréales petit déjeuner,A5.5-V5.5,ok,1,,http://espacepro.bryio.com/images/stories/virtuemart/product/3421557108099.jpg,,non
5 628,Pâte à tartiner -,NOCCIOLATA,oui,Pâte à tartiner - NOCCIOLATA,8001505003529,Bryio,Pâte à tartiner 350gr,NT352,6,"3,26","Alimentaire / Épicerie / Miel, Confitures, Chocolat TVA 5,5%, Pâte à tartiner TVA 5,5%",A5.5-V5.5,ok,"0,35",,http://espacepro.bryio.com/images/stories/virtuemart/product/8001505003529.jpg,,non
5 629,Pâte à tartiner sans lait -,NOCCIOLATA,oui,Pâte à tartiner sans lait - NOCCIOLATA,8001505000078,Bryio,Pâte à tartiner sans lait 350gr,NT007,6,"3,33","Alimentaire / Épicerie / Miel, Confitures, Chocolat TVA 5,5%, Pâte à tartiner TVA 5,5%",A5.5-V5.5,ok,"0,35",,http://espacepro.bryio.com/images/stories/virtuemart/product/8001505000078.jpg,,non
2 326,P'tit beurre au lait cru -,MOULIN PIVERT,oui,P'tit beurre au lait cru - MOULIN PIVERT,3268350120305,Bryio,P'tit beurre au lait cru 155gr,MP12030,12,"1,58","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,155",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120305.jpg,,non
2 331,P'tit déj céréales miel et chocolat -,MOULIN PIVERT,oui,P'tit déj céréales miel et chocolat - MOULIN PIVERT,3268350120534,Bryio,P'tit déj céréales miel et chocolat 190gr,MP12053,12,"1,99","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,19",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120534.jpg,,non
2 716,Petits pains grillés au froment -,MOULIN PIVERT,oui,Petits pains grillés au froment - MOULIN PIVERT,3268350120251,Bryio,Petits pains grillés au froment 225gr,MP12025,16,"1,98","Alimentaire / Épicerie / Biscuits, Galettes, Tartines, Pain et Patisserie Indus",A5.5-V5.5,ok,"0,225",,http://espacepro.bryio.com/images/stories/virtuemart/product/3268350120251.jpg,,non
2 138,Purée de pomme Demeter -,COTEAUX NANTAIS,oui,Purée de pomme Demeter - COTEAUX NANTAIS,3301597001171,Bryio,Purée de pomme 915gr Demeter,CT7117,6,"3,22","Alimentaire / Épicerie / Compotes, Purées de fruits, Purées d'oléagineux",A5.5-V5.5,ok,"0,915",,http://espacepro.bryio.com/images/stories/virtuemart/product/3301597001171.jpg,,non
2 135,Purée de pomme Demeter -,COTEAUX NANTAIS,oui,Purée de pomme Demeter - COTEAUX NANTAIS,3301597000990,Bryio,Purée de pomme 630gr Demeter,CT7099,6,"2,47","Alimentaire / Épicerie / Compotes, Purées de fruits, Purées d'oléagineux",A5.5-V5.5,ok,"0,63",,http://espacepro.bryio.com/images/stories/virtuemart/product/3301597000990.jpg,,non
2 141,Purée de pomme poire Demeter -,COTEAUX NANTAIS,oui,Purée de pomme poire Demeter - COTEAUX NANTAIS,3301597001645,Bryio,Purée de pomme poire 910gr Demeter,CT7164,6,"3,62","Alimentaire / Épicerie / Compotes, Purées de fruits, Purées d'oléagineux",A5.5-V5.5,ok,"0,91",,http://espacepro.bryio.com/images/stories/virtuemart/product/3301597001645.jpg,,non
2 088,Sucre vanillé -,COOK,oui,Sucre vanillé - COOK,3417960029502,Bryio,Sucre vanillé 65gr,AD2950,3,"4,36",Alimentaire / Épicerie / Sucre,A5.5-V5.5,ok,"0,065",,http://espacepro.bryio.com/images/stories/virtuemart/product/3417960029502.jpg,,non
